"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 21:48:22 EEST 2024","Thu Sep 19 21:48:45 EEST 2024","23103","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","[0] Fill only Email and Password, UserForRegistration{userName='null', email='TC021daHansen20240919214817@gml.rr', password='123456qwerty'}, Username must be at least 3 characters. (TC021_validationMessagesTest)","[0] Fill only Email and Password, UserForRegistration{userName='null', email='TC021daHansen20240919214817@gml.rr', password='123456qwerty'}, Username must be at least 3 characters. (TC021_validationMessagesTest)",""
"passed","Thu Sep 19 21:49:09 EEST 2024","Thu Sep 19 21:49:22 EEST 2024","13272","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","[2] Fill only UserName and Email , UserForRegistration{userName='TC021daCormier20240919214817', email='TC021daCormier20240919214817@gml.rr', password='null'}, Password must be at least 12 characters. (TC021_validationMessagesTest)","[2] Fill only UserName and Email , UserForRegistration{userName='TC021daCormier20240919214817', email='TC021daCormier20240919214817@gml.rr', password='null'}, Password must be at least 12 characters. (TC021_validationMessagesTest)",""
"passed","Thu Sep 19 21:48:22 EEST 2024","Thu Sep 19 21:48:45 EEST 2024","23048","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[0] Login - valid, Email - NOT valid, Password - NOT valid, UserForRegistration{userName='TC023daGoodwin20240919214816', email='tr', password='tr'}, You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)","[0] Login - valid, Email - NOT valid, Password - NOT valid, UserForRegistration{userName='TC023daGoodwin20240919214816', email='tr', password='tr'}, You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:49:44 EEST 2024","Thu Sep 19 21:49:55 EEST 2024","11008","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[4] Login - valid, Email -  NOT valid, password - valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt', email='tr', password='tttttt111111'}, You must provide a valid email address. (TC023_validationMessagesTest)","[4] Login - valid, Email -  NOT valid, password - valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt', email='tr', password='tttttt111111'}, You must provide a valid email address. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:49:09 EEST 2024","Thu Sep 19 21:49:22 EEST 2024","12981","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[2] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tt', email='tr', password='tr'}, Username must be at least 3 characters.;You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)","[2] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tt', email='tr', password='tr'}, Username must be at least 3 characters.;You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:48:50 EEST 2024","Thu Sep 19 21:49:04 EEST 2024","13730","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","","registrationTest.ValidationMessagesWithoutSomeFieldsTest","[1] Fill only UserName and Password, UserForRegistration{userName='TC021daReichel20240919214817', email='null', password='123456qwerty'}, You must provide a valid email address. (TC021_validationMessagesTest)","[1] Fill only UserName and Password, UserForRegistration{userName='TC021daReichel20240919214817', email='null', password='123456qwerty'}, You must provide a valid email address. (TC021_validationMessagesTest)",""
"passed","Thu Sep 19 21:50:00 EEST 2024","Thu Sep 19 21:50:11 EEST 2024","11333","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[5] Login -  NOT valid, Email -  NOT valid, password - valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='ttttttttttttttttttttttttt1111111111111111111111111'}, Username cannot exceed 30 characters.;You must provide a valid email address. (TC023_validationMessagesTest)","[5] Login -  NOT valid, Email -  NOT valid, password - valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='ttttttttttttttttttttttttt1111111111111111111111111'}, Username cannot exceed 30 characters.;You must provide a valid email address. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:48:50 EEST 2024","Thu Sep 19 21:49:04 EEST 2024","14221","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[1] Login - valid, Email - valid, password - NOT valid, UserForRegistration{userName='TC023daBednar20240919214816', email='TC023daBednar20240919214816@gml.rr', password='tr'}, Password must be at least 12 characters. (TC023_validationMessagesTest)","[1] Login - valid, Email - valid, password - NOT valid, UserForRegistration{userName='TC023daBednar20240919214816', email='TC023daBednar20240919214816@gml.rr', password='tr'}, Password must be at least 12 characters. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:50:16 EEST 2024","Thu Sep 19 21:50:28 EEST 2024","11207","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[6] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='ttttttttttttttttttttttttt111111111111111111111111122'}, Username cannot exceed 30 characters.;You must provide a valid email address.;Password cannot exceed 50 characters. (TC023_validationMessagesTest)","[6] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='ttttttttttttttttttttttttt111111111111111111111111122'}, Username cannot exceed 30 characters.;You must provide a valid email address.;Password cannot exceed 50 characters. (TC023_validationMessagesTest)",""
"passed","Thu Sep 19 21:49:27 EEST 2024","Thu Sep 19 21:49:39 EEST 2024","11772","","registrationTest.ValidationMessagesTest","","registrationTest.ValidationMessagesTest","[3] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='tr'}, Username cannot exceed 30 characters.;You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)","[3] Login -  NOT valid, Email -  NOT valid, password -  NOT valid, UserForRegistration{userName='tttttttttttttttttttttttttttttt1', email='tr', password='tr'}, Username cannot exceed 30 characters.;You must provide a valid email address.;Password must be at least 12 characters. (TC023_validationMessagesTest)",""
